World Rank,Institution,Location,National Rank,Quality of Education,Alumni Employment,Quality of Faculty,Research Output,Quality Publications,Influence,Citations,Score
756,Tarbiat Modares University,Iran,7,-,> 1000,-,417,723,> 1000,> 1000,71.4
757,Old Dominion University,USA,181,-,> 1000,-,859,791,644,541,71.4
758,University of Szeged,Hungary,4,-,> 1000,292,684,742,826,898,71.4
759,University of Texas Rio Grande Valley,USA,182,-,> 1000,-,> 1000,854,604,405,71.4
760,Iran University of Science and Technology,Iran,8,-,> 1000,-,546,785,> 1000,673,71.4
761,Jadavpur University,India,9,-,> 1000,-,659,841,> 1000,460,71.4
762,National University of Córdoba,Argentina,3,-,> 1000,-,740,757,795,673,71.4
763,Harbin Medical University,China,73,-,> 1000,-,585,724,> 1000,898,71.4
764,Heriot-Watt University,United Kingdom,51,-,517,-,733,642,606,> 1000,71.4
765,University of Toledo,USA,183,-,> 1000,-,791,668,629,898,71.4
766,National University of Colombia,Colombia,1,-,766,-,633,874,618,898,71.4
767,University of Alicante,Spain,27,-,> 1000,-,700,719,> 1000,673,71.4
768,University of Essex,United Kingdom,52,240,637,-,925,730,746,541,71.3
769,University of L'Aquila,Italy,40,-,> 1000,-,809,756,873,541,71.3
770,New Mexico State University,USA,184,-,904,-,897,773,649,541,71.3
771,Makerere University,Uganda,1,448,> 1000,-,981,779,456,673,71.3
772,University of Split,Croatia,2,-,> 1000,-,997,> 1000,454,405,71.3
773,University of North Carolina at Charlotte,USA,185,-,532,-,855,789,758,541,71.3
774,Banaras Hindu University,India,10,487,606,-,543,781,> 1000,898,71.3
775,Ulsan National Institute of Science and Technology,South Korea,25,-,> 1000,-,925,642,731,673,71.3
776,University of Wroc?aw,Poland,6,650,> 1000,-,708,750,> 1000,673,71.3
777,University of Stirling,United Kingdom,53,-,601,-,969,783,728,460,71.3
778,Nanchang University,China,74,-,> 1000,-,589,707,> 1000,898,71.3
779,University of Hohenheim,Germany,49,-,> 1000,-,877,793,694,541,71.3
780,École des ponts ParisTech,France,43,57,26,-,> 1000,> 1000,> 1000,> 1000,71.3
781,Jawaharlal Nehru Centre for Advanced Scientific Research,India,11,-,> 1000,185,> 1000,956,921,673,71.2
782,University of Kaiserslautern,Germany,50,-,997,-,911,786,660,541,71.2
783,American University of Beirut,Lebanon,1,202,176,-,899,862,698,673,71.2
784,King Fahd University of Petroleum and Minerals,Saudi Arabia,4,-,122,-,743,899,> 1000,673,71.2
785,"China Medical University, PRC",China,75,-,> 1000,-,526,736,904,> 1000,71.2
786,Paris 13 University,France,44,-,> 1000,-,830,712,807,673,71.2
787,Tampere University of Technology,Finland,8,-,318,-,905,859,707,541,71.2
788,Tokyo University of Agriculture and Technology,Japan,32,-,> 1000,-,720,759,> 1000,673,71.2
789,Bilkent University,Turkey,9,-,856,-,967,798,763,460,71.2
790,University of Johannesburg,South Africa,6,-,> 1000,-,785,896,781,541,71.2
791,University of Concepción,Chile,3,-,> 1000,-,687,746,586,> 1000,71.2
792,China University of Mining and Technology,China,76,-,890,-,532,797,> 1000,898,71.2
793,Chiang Mai University,Thailand,3,-,> 1000,-,718,877,793,673,71.2
794,Yeungnam University,South Korea,26,-,467,-,530,693,> 1000,> 1000,71.2
795,Marche Polytechnic University,Italy,41,-,> 1000,-,775,732,722,898,71.1
796,National Taiwan University of Science and Technology,Taiwan,13,-,> 1000,-,577,616,> 1000,> 1000,71.1
797,Tokushima University,Japan,33,143,> 1000,-,736,764,578,> 1000,71.1
798,Indian Institute of Technology Kanpur,India,12,268,707,-,625,609,> 1000,> 1000,71.1
799,Quaid-i-Azam University,Pakistan,1,-,> 1000,-,643,924,> 1000,541,71.1
800,Northeast Normal University,China,77,-,> 1000,-,663,638,913,> 1000,71.1
801,Ryerson University,Canada,25,-,> 1000,-,783,752,> 1000,541,71.1
802,Babe?-Bolyai University,Romania,1,-,> 1000,-,645,909,989,673,71.1
803,Ohio University,USA,186,441,353,-,809,680,591,> 1000,71.1
804,Wenzhou Medical University,China,78,-,> 1000,-,650,744,> 1000,898,71.1
805,University of Tours,France,45,424,> 1000,-,797,689,541,> 1000,71.1
806,"University of the Andes, Colombia",Colombia,2,-,410,-,> 1000,897,543,541,71.1
807,Panjab University,India,13,620,566,-,774,811,897,673,71.1
808,University of Alcalá,Spain,28,-,> 1000,-,812,740,650,898,71
809,University of Hertfordshire,United Kingdom,54,-,> 1000,-,> 1000,823,514,541,71
810,Dankook University,South Korea,27,-,> 1000,-,734,900,> 1000,460,71
811,Chungbuk National University,South Korea,28,-,> 1000,-,633,777,> 1000,898,71
812,University of Sassari,Italy,42,-,> 1000,-,873,802,665,673,71
813,Toho University,Japan,34,-,> 1000,258,980,962,> 1000,673,71
814,Federal University of Ceará,Brazil,13,-,> 1000,-,614,838,981,898,71
815,Portland State University,USA,187,-,335,-,934,817,652,673,71
816,Gunma University,Japan,35,-,> 1000,-,794,769,678,898,71
817,Polytechnic University of Bucharest,Romania,2,-,> 1000,-,596,993,> 1000,541,71
818,Yokohama National University,Japan,36,120,329,246,> 1000,> 1000,> 1000,673,71
819,Zhejiang University of Technology,China,79,-,> 1000,-,630,727,> 1000,898,71
820,University of the Balearic Islands,Spain,29,-,> 1000,-,841,729,709,898,71
821,Cranfield University,United Kingdom,55,-,134,-,882,847,> 1000,673,71
822,Polytechnic University of Bari,Italy,43,-,> 1000,-,> 1000,946,556,405,70.9
823,Budapest University of Technology and Economics,Hungary,5,478,> 1000,-,767,843,905,673,70.9
824,South China Agricultural University,China,80,-,> 1000,-,723,749,997,898,70.9
825,University of Orléans,France,46,-,> 1000,-,876,765,448,> 1000,70.9
826,"National University of Malaysia, UKM",Malaysia,4,-,> 1000,-,527,846,917,> 1000,70.9
827,University of Bucharest,Romania,3,461,> 1000,-,674,925,> 1000,673,70.9
828,Carlos III University of Madrid,Spain,30,-,> 1000,-,739,661,> 1000,898,70.9
829,Uniformed Services University of the Health Sciences,USA,188,-,> 1000,-,869,690,525,> 1000,70.9
830,University of Denver,USA,189,558,160,-,> 1000,900,554,673,70.9
831,Beijing University of Technology,China,81,-,> 1000,-,578,666,> 1000,> 1000,70.9
832,University of Insubria,Italy,44,-,> 1000,-,902,779,579,898,70.9
833,Sejong University,South Korea,29,-,> 1000,-,816,791,969,673,70.9
834,Medical University of Warsaw,Poland,7,-,> 1000,-,829,> 1000,805,673,70.9
835,East Carolina University,USA,190,-,704,-,842,763,710,898,70.9
836,Beijing Jiaotong University,China,82,-,> 1000,-,553,721,> 1000,> 1000,70.8
837,China Europe International Business School,China,83,-,10,-,> 1000,> 1000,> 1000,> 1000,70.8
838,Tokyo Women's Medical University,Japan,37,-,> 1000,-,874,892,646,673,70.8
839,University of Wuppertal,Germany,51,-,> 1000,-,998,844,906,460,70.8
840,Federal University of Pernambuco,Brazil,14,-,> 1000,-,549,774,> 1000,> 1000,70.8
841,University of Hyogo,Japan,38,-,> 1000,232,> 1000,> 1000,553,> 1000,70.8
842,University of Regina,Canada,26,-,> 1000,-,> 1000,935,748,405,70.8
843,Binghamton University,USA,191,-,388,-,964,748,658,898,70.8
844,Wroc?aw University of Science and Technology,Poland,8,-,934,-,620,830,> 1000,898,70.8
845,University of Toyama,Japan,39,-,444,-,776,778,> 1000,898,70.8
846,National Taiwan Normal University,Taiwan,14,-,> 1000,-,848,765,> 1000,673,70.8
847,Federal University of São Carlos,Brazil,15,-,> 1000,-,583,760,> 1000,> 1000,70.8
848,Metropolitan Autonomous University,Mexico,4,-,> 1000,-,730,980,869,673,70.8
849,University of Western Brittany,France,47,-,> 1000,-,857,722,585,> 1000,70.8
850,Tokai University,Japan,40,-,> 1000,-,792,851,739,898,70.7
851,Harbin Engineering University,China,84,-,> 1000,-,764,809,> 1000,673,70.7
852,Gachon University,South Korea,30,-,> 1000,-,749,799,> 1000,898,70.7
853,Meijo University,Japan,41,-,> 1000,86,> 1000,> 1000,> 1000,898,70.7
854,Federico Santa María Technical University,Chile,4,-,> 1000,-,> 1000,> 1000,> 1000,222,70.7
855,Michigan Technological University,USA,192,615,> 1000,-,938,839,742,673,70.7
856,École des hautes études en sciences sociales,France,48,182,> 1000,121,> 1000,> 1000,896,> 1000,70.7
857,Shiraz University,Iran,9,-,> 1000,-,604,894,> 1000,898,70.7
858,Indian Institute of Technology Roorkee,India,14,-,362,-,683,861,> 1000,898,70.7
859,Nara Institute of Science and Technology,Japan,42,-,> 1000,-,> 1000,895,400,898,70.7
860,New Jersey Institute of Technology,USA,193,465,736,-,> 1000,882,720,541,70.7
861,University of Picardie Jules Verne,France,49,-,> 1000,-,> 1000,902,760,460,70.7
862,Creighton University,USA,194,-,> 1000,-,> 1000,922,616,460,70.7
863,Åbo Akademi University,Finland,9,-,> 1000,-,970,833,762,673,70.7
864,Miguel Hernández University of Elche,Spain,31,-,> 1000,-,900,794,740,898,70.7
865,Jichi Medical University,Japan,43,-,> 1000,-,988,> 1000,631,541,70.6
866,University of Siegen,Germany,52,-,> 1000,-,> 1000,927,934,405,70.6
867,University of Extremadura,Spain,32,-,> 1000,-,826,856,> 1000,673,70.6
868,Nagoya City University,Japan,44,-,592,-,989,906,675,673,70.6
869,University of Valladolid,Spain,33,-,> 1000,-,725,728,> 1000,> 1000,70.6
870,Murdoch University,Australia,25,-,879,-,856,814,565,> 1000,70.6
871,Wesleyan University,USA,195,87,49,-,> 1000,> 1000,671,898,70.6
872,Ferdowsi University of Mashhad,Iran,10,-,> 1000,-,627,965,> 1000,898,70.6
873,North China Electric Power University,China,85,-,488,-,756,808,> 1000,898,70.6
874,Erciyes University,Turkey,10,-,> 1000,-,703,> 1000,> 1000,541,70.6
875,Chung Shan Medical University,Taiwan,15,-,> 1000,-,827,781,> 1000,898,70.6
876,Hefei University of Technology,China,86,-,692,-,704,702,> 1000,> 1000,70.6
877,China Pharmaceutical University,China,87,-,> 1000,-,688,737,> 1000,> 1000,70.6
878,Dongguk University,South Korea,31,-,556,-,685,775,> 1000,> 1000,70.6
879,"University of California, Merced",USA,196,-,> 1000,-,> 1000,868,505,673,70.5
880,Shanxi University,China,88,-,> 1000,-,833,770,> 1000,898,70.5
881,Sofia University,Bulgaria,1,493,> 1000,-,824,964,962,673,70.5
882,Kagoshima University,Japan,45,-,648,-,757,824,791,> 1000,70.5
883,Jawaharlal Nehru University,India,15,-,> 1000,181,> 1000,> 1000,> 1000,> 1000,70.5
884,Mansoura University,Egypt,3,-,> 1000,-,731,942,971,898,70.5
885,Northern Arizona University,USA,197,-,> 1000,-,> 1000,978,517,541,70.5
886,Federal University of Pelotas,Brazil,16,-,> 1000,-,843,> 1000,820,673,70.5
887,Shizuoka University,Japan,46,-,> 1000,232,998,> 1000,956,> 1000,70.5
888,Inje University,South Korea,32,-,> 1000,-,658,851,> 1000,> 1000,70.5
889,Fluminense Federal University,Brazil,17,-,857,-,653,818,> 1000,> 1000,70.5
890,Chongqing Medical University,China,89,-,> 1000,-,672,826,> 1000,> 1000,70.5
891,"City, University of London",United Kingdom,56,-,309,-,912,784,> 1000,898,70.5
892,Federal University of Goiás,Brazil,18,-,> 1000,-,782,997,> 1000,673,70.5
893,Royal Veterinary College,United Kingdom,57,314,> 1000,-,> 1000,910,587,673,70.5
894,Beijing University of Posts and Telecommunications,China,90,-,502,-,623,842,> 1000,> 1000,70.4
895,Yangzhou University,China,91,-,> 1000,-,697,789,> 1000,> 1000,70.4
896,Gifu University,Japan,47,-,862,-,717,812,> 1000,> 1000,70.4
897,University of Veterinary Medicine Vienna,Austria,10,-,> 1000,-,986,863,643,898,70.4
898,Yamagata University,Japan,48,-,> 1000,-,850,887,863,898,70.4
899,University of Silesia in Katowice,Poland,9,-,> 1000,-,806,955,> 1000,673,70.4
900,University of Jaén,Spain,34,-,> 1000,-,1000,969,> 1000,460,70.4
901,Yamaguchi University,Japan,49,-,> 1000,-,834,877,993,898,70.4
902,Shaanxi Normal University,China,92,-,> 1000,-,712,751,> 1000,> 1000,70.4
903,Alexandria University,Egypt,4,500,> 1000,-,768,923,> 1000,898,70.4
904,University of Mons,Belgium,8,-,> 1000,-,> 1000,876,773,673,70.4
905,University of Cyprus,Cyprus,1,-,> 1000,-,979,845,> 1000,673,70.4
906,Gabriele d’Annunzio University,Italy,45,-,> 1000,-,802,770,942,> 1000,70.4
907,Hitotsubashi University,Japan,50,-,16,-,> 1000,> 1000,> 1000,> 1000,70.4
908,Tunis El Manar University,Tunisia,1,-,> 1000,-,641,946,> 1000,> 1000,70.4
909,Southwest Jiaotong University,China,93,-,801,-,680,805,> 1000,> 1000,70.3
910,Ulster University,United Kingdom,58,-,> 1000,-,893,807,> 1000,898,70.3
911,Renmin University of China,China,94,-,133,-,915,869,> 1000,> 1000,70.3
912,Florida Institute of Technology,USA,198,-,545,-,> 1000,> 1000,925,327,70.3
913,Kyoto Prefectural University of Medicine,Japan,51,-,> 1000,-,> 1000,961,887,541,70.3
914,Anhui Medical University,China,95,-,> 1000,-,814,905,> 1000,898,70.3
915,"University of Technology, Malaysia",Malaysia,5,-,> 1000,-,608,879,> 1000,> 1000,70.3
916,Hallym University,South Korea,33,-,> 1000,-,709,834,> 1000,> 1000,70.3
917,COMSATS Institute of Information Technology,Pakistan,2,-,> 1000,-,714,945,> 1000,898,70.3
918,Toulouse 1 Capitole University,France,50,-,> 1000,164,> 1000,> 1000,> 1000,898,70.3
919,Indian Institute of Management Ahmedabad,India,16,-,14,-,> 1000,> 1000,> 1000,> 1000,70.3
920,Aberystwyth University,United Kingdom,59,-,888,-,> 1000,907,732,673,70.3
921,University of Jinan,China,96,-,> 1000,-,728,787,> 1000,> 1000,70.3
922,North Dakota State University,USA,199,326,> 1000,-,909,834,> 1000,898,70.3
923,University Paris 1 Panthéon-Sorbonne,France,51,473,518,125,> 1000,> 1000,> 1000,> 1000,70.3
924,Rouen Normandy University,France,52,661,> 1000,-,896,747,838,> 1000,70.2
925,University of Cádiz,Spain,35,-,> 1000,-,944,888,> 1000,673,70.2
926,Ritsumeikan University,Japan,52,-,594,-,> 1000,976,> 1000,541,70.2
927,Federal University of Santa Maria,Brazil,19,-,773,-,578,937,> 1000,> 1000,70.2
928,University of New Brunswick,Canada,27,-,741,-,890,848,> 1000,898,70.2
929,University of Caen Normandy,France,53,435,> 1000,-,906,730,916,> 1000,70.2
930,University of South Bohemia in ?eské Bud?jovice,Czech Republic,5,-,> 1000,-,971,995,590,898,70.2
931,Osaka Prefecture University,Japan,53,-,580,-,804,804,> 1000,> 1000,70.2
932,Çukurova University,Turkey,11,-,> 1000,-,800,> 1000,955,673,70.2
933,Paris Nanterre University,France,54,467,632,99,> 1000,> 1000,> 1000,> 1000,70.2
934,University of Alabama in Huntsville,USA,200,-,> 1000,-,> 1000,> 1000,461,673,70.2
935,Rochester Institute of Technology,USA,201,-,944,-,> 1000,975,689,541,70.2
936,Dublin City University,Ireland,5,-,914,-,968,875,> 1000,673,70.2
937,University of Hasselt,Belgium,9,-,534,-,973,806,> 1000,898,70.2
938,Dokuz Eylül University,Turkey,12,-,> 1000,-,707,> 1000,> 1000,898,70.2
939,University of Massachusetts Boston,USA,202,-,> 1000,-,> 1000,850,672,898,70.1
940,Jaume I University,Spain,36,-,> 1000,-,922,801,> 1000,898,70.1
941,Nanjing University of Information Science and Technology,China,97,-,> 1000,-,766,883,> 1000,> 1000,70.1
942,Télécom ParisTech,France,55,298,47,-,> 1000,> 1000,> 1000,541,70.1
943,San Francisco State University,USA,203,516,> 1000,275,> 1000,974,703,898,70.1
944,Zhejiang Normal University,China,98,-,> 1000,-,852,857,> 1000,898,70.1
945,Guangxi University,China,99,605,> 1000,-,844,860,> 1000,898,70.1
946,Jacobs University Bremen,Germany,53,-,> 1000,-,> 1000,969,817,460,70.1
947,Howard University,USA,204,327,> 1000,-,> 1000,> 1000,744,541,70.1
948,University of Pécs,Hungary,6,-,> 1000,-,> 1000,> 1000,992,541,70.1
949,University of Limerick,Ireland,6,-,863,-,927,867,> 1000,898,70.1
950,Tottori University,Japan,54,-,616,-,932,> 1000,984,673,70.1
951,Sciences Po,France,56,296,60,168,> 1000,> 1000,> 1000,898,70.1
952,University of Windsor,Canada,28,-,167,-,933,849,> 1000,> 1000,70.1
953,Mie University,Japan,55,-,> 1000,-,929,966,> 1000,673,70.1
954,Nicolaus Copernicus University in Toru?,Poland,10,-,> 1000,-,778,953,796,> 1000,70.1
955,Hohai University,China,100,-,> 1000,-,679,892,> 1000,> 1000,70
956,King Juan Carlos University,Spain,37,-,> 1000,-,914,898,> 1000,898,70
957,Royal College of Surgeons in Ireland,Ireland,7,-,> 1000,-,> 1000,925,667,673,70
958,University of Osnabrück,Germany,54,-,> 1000,-,> 1000,931,714,673,70
959,University of Perpignan Via Domita,France,57,272,> 1000,-,> 1000,> 1000,726,541,70
960,Qingdao University,China,101,-,> 1000,-,722,886,> 1000,> 1000,70
961,Sogang University,South Korea,34,-,653,-,838,885,978,> 1000,70
962,University of Memphis,USA,205,-,500,-,918,831,899,> 1000,70
963,Hunter College,USA,206,395,> 1000,-,> 1000,884,702,898,70
964,North-West University,South Africa,7,591,> 1000,-,823,> 1000,681,> 1000,70
965,Ningbo University,China,102,-,> 1000,-,765,837,> 1000,> 1000,70
966,Shahid Beheshti University of Medical Sciences,Iran,11,-,> 1000,-,644,> 1000,949,> 1000,70
967,National Taiwan Ocean University,Taiwan,16,-,893,-,930,911,> 1000,898,70
968,INSA Toulouse,France,58,-,659,-,> 1000,871,777,898,70
969,University of Antioquia,Colombia,3,-,> 1000,-,936,> 1000,783,898,70
970,Shantou University,China,103,-,> 1000,-,> 1000,> 1000,814,673,70
971,Chung Yuan Christian University,Taiwan,17,460,526,-,924,891,> 1000,898,69.9
972,Guangzhou Medical University,China,104,-,> 1000,-,864,913,880,> 1000,69.9
973,Amherst College,USA,207,21,66,-,> 1000,> 1000,983,> 1000,69.9
974,Yunnan University,China,105,-,> 1000,-,867,951,759,> 1000,69.9
975,Johannes Kepler University Linz,Austria,11,-,> 1000,-,947,853,825,> 1000,69.9
976,New York Medical College,USA,208,-,> 1000,-,> 1000,913,719,898,69.9
977,Missouri University of Science and Technology,USA,209,-,392,-,916,827,> 1000,> 1000,69.9
978,University of Maribor,Slovenia,2,-,> 1000,-,871,> 1000,> 1000,898,69.9
979,Atatürk University,Turkey,13,-,> 1000,-,674,> 1000,> 1000,898,69.9
980,Eastern Virginia Medical School,USA,210,-,> 1000,-,> 1000,> 1000,792,327,69.9
981,University of North Carolina at Greensboro,USA,211,-,> 1000,-,> 1000,938,> 1000,673,69.9
982,Beijing Forestry University,China,106,-,> 1000,-,837,840,> 1000,> 1000,69.9
983,Liverpool School of Tropical Medicine,United Kingdom,60,-,> 1000,-,> 1000,920,508,898,69.9
984,University of Brighton,United Kingdom,61,-,> 1000,-,> 1000,873,727,> 1000,69.9
985,Federal University of Bahia,Brazil,20,602,> 1000,-,793,981,985,> 1000,69.9
986,University of St. Gallen,Switzerland,9,-,32,-,> 1000,> 1000,> 1000,898,69.9
987,Xiangtan University,China,107,-,915,-,861,818,> 1000,> 1000,69.8
988,Manchester Metropolitan University,United Kingdom,62,-,960,-,> 1000,> 1000,856,673,69.8
989,University of A Coruña,Spain,38,-,> 1000,-,847,832,> 1000,> 1000,69.8
990,Khon Kaen University,Thailand,4,-,> 1000,-,879,> 1000,> 1000,898,69.8
991,University of Ibadan,Nigeria,1,540,> 1000,265,> 1000,> 1000,774,898,69.8
992,Shahid Beheshti University,Iran,12,-,> 1000,-,815,> 1000,> 1000,673,69.8
993,University of Massachusetts Lowell,USA,212,-,930,-,> 1000,989,> 1000,541,69.8
994,Loma Linda University,USA,213,180,> 1000,-,> 1000,949,890,898,69.8
995,University of Macau,Macau,1,-,512,-,883,816,> 1000,> 1000,69.8
996,Aga Khan University,Pakistan,3,-,> 1000,-,> 1000,> 1000,464,673,69.8
997,University of Calcutta,India,17,353,716,296,798,966,> 1000,> 1000,69.8
998,K?chi University,Japan,56,-,> 1000,-,> 1000,> 1000,811,673,69.8
999,Soonchunhyang University,South Korea,35,-,> 1000,-,881,> 1000,> 1000,898,69.8
1000,Capital Normal University,China,108,-,869,-,923,904,889,> 1000,69.8
